,rollup/rollup,webpack/webpack,parcel-bundler/parcel
2020-10-12,1,9,4
2020-10-13,3,6,1
2020-10-14,0,3,0
2020-10-15,3,21,0
2020-10-16,3,11,0
2020-10-17,1,1,0
2020-10-18,0,0,0
2020-10-19,0,2,1
2020-10-20,0,7,1
2020-10-21,3,5,2
2020-10-22,0,10,0
2020-10-23,0,4,0
2020-10-24,0,1,1
2020-10-25,0,0,2
2020-10-26,0,6,1
2020-10-27,0,17,0
2020-10-28,0,18,2
2020-10-29,0,4,0
2020-10-30,0,11,3
2020-10-31,3,4,0
2020-11-01,7,3,0
2020-11-02,5,8,0
2020-11-03,0,11,0
2020-11-04,0,8,0
2020-11-05,0,2,1
2020-11-06,0,0,1
2020-11-07,0,4,0
2020-11-08,0,0,2
2020-11-09,0,1,0
2020-11-10,0,0,1
2020-11-11,0,9,1
2020-11-12,0,0,1
2020-11-13,0,0,1
2020-11-14,3,0,1
2020-11-15,0,0,0
2020-11-16,1,5,0
2020-11-17,0,2,0
2020-11-18,3,3,5
2020-11-19,0,3,1
2020-11-20,0,3,1
2020-11-21,0,0,3
2020-11-22,0,0,3
2020-11-23,0,3,2
2020-11-24,0,0,0
2020-11-25,0,4,0
2020-11-26,0,24,0
2020-11-27,0,0,0
2020-11-28,0,13,0
2020-11-29,5,0,0
2020-11-30,0,6,1
2020-12-01,1,0,1
2020-12-02,2,5,1
2020-12-03,3,5,1
2020-12-04,0,15,0
2020-12-05,0,3,1
2020-12-06,3,1,2
2020-12-07,0,14,3
2020-12-08,0,4,2
2020-12-09,0,1,1
2020-12-10,0,9,1
2020-12-11,0,9,0
2020-12-12,0,1,0
2020-12-13,0,0,1
2020-12-14,8,17,2
2020-12-15,0,14,2
2020-12-16,0,3,0
2020-12-17,0,11,1
2020-12-18,0,3,3
2020-12-19,0,1,1
2020-12-20,0,0,0
2020-12-21,0,0,0
2020-12-22,0,4,0
2020-12-23,0,4,3
2020-12-24,0,0,1
2020-12-25,0,0,1
2020-12-26,0,1,0
2020-12-27,0,0,0
2020-12-28,0,2,1
2020-12-29,0,4,3
2020-12-30,0,1,1
2020-12-31,0,0,4
2021-01-01,0,1,0
2021-01-02,0,0,4
2021-01-03,0,2,4
2021-01-04,0,17,3
2021-01-05,3,20,2
2021-01-06,3,12,1
2021-01-07,0,10,4
2021-01-08,0,6,2
2021-01-09,0,5,2
2021-01-10,0,5,2
2021-01-11,0,8,1
2021-01-12,0,5,2
2021-01-13,0,21,5
2021-01-14,0,3,3
2021-01-15,0,15,0
2021-01-16,3,1,2
2021-01-17,0,1,2
2021-01-18,0,12,1
2021-01-19,4,21,2
2021-01-20,3,13,1
2021-01-21,0,5,5
2021-01-22,3,5,3
2021-01-23,0,0,0
2021-01-24,0,1,0
2021-01-25,0,1,2
2021-01-26,3,8,1
2021-01-27,0,10,2
2021-01-28,3,4,2
2021-01-29,0,7,0
2021-01-30,0,2,0
2021-01-31,4,4,2
2021-02-01,4,18,2
2021-02-02,2,29,4
2021-02-03,0,8,4
2021-02-04,0,7,3
2021-02-05,3,15,1
2021-02-06,0,2,0
2021-02-07,0,7,0
2021-02-08,0,7,3
2021-02-09,0,7,2
2021-02-10,0,12,0
2021-02-11,0,9,6
2021-02-12,7,1,4
2021-02-13,0,6,3
2021-02-14,0,11,4
2021-02-15,0,3,0
2021-02-16,0,3,1
2021-02-17,0,2,1
2021-02-18,0,7,2
2021-02-19,0,2,3
2021-02-20,0,1,1
2021-02-21,0,6,1
2021-02-22,0,25,1
2021-02-23,4,9,1
2021-02-24,0,5,1
2021-02-25,0,0,1
2021-02-26,6,0,1
2021-02-27,0,0,0
2021-02-28,0,0,2
2021-03-01,0,7,1
2021-03-02,0,2,0
2021-03-03,0,1,1
2021-03-04,0,0,1
2021-03-05,0,1,3
2021-03-06,0,4,0
2021-03-07,0,1,1
2021-03-08,0,17,0
2021-03-09,4,9,1
2021-03-10,0,6,3
2021-03-11,3,20,0
2021-03-12,3,5,2
2021-03-13,0,0,1
2021-03-14,0,3,0
2021-03-15,0,20,1
2021-03-16,7,9,0
2021-03-17,0,5,1
2021-03-18,3,3,0
2021-03-19,3,13,0
2021-03-20,3,2,1
2021-03-21,0,0,1
2021-03-22,6,14,0
2021-03-23,0,5,1
2021-03-24,3,2,0
2021-03-25,2,3,0
2021-03-26,1,0,0
2021-03-27,3,0,0
2021-03-28,4,0,0
2021-03-29,7,4,1
2021-03-30,0,1,0
2021-03-31,0,6,0
2021-04-01,0,8,0
2021-04-02,0,0,1
2021-04-03,0,0,1
2021-04-04,0,2,0
2021-04-05,0,0,0
2021-04-06,0,10,1
2021-04-07,0,16,0
2021-04-08,0,4,1
2021-04-09,3,6,0
2021-04-10,3,0,0
2021-04-11,0,1,1
2021-04-12,0,25,2
2021-04-13,3,8,1
2021-04-14,2,25,1
2021-04-15,1,4,0
2021-04-16,0,2,1
2021-04-17,0,1,0
2021-04-18,0,2,0
2021-04-19,0,22,1
2021-04-20,0,24,0
2021-04-21,0,3,0
2021-04-22,0,11,0
2021-04-23,0,12,0
2021-04-24,0,0,0
2021-04-25,0,1,0
2021-04-26,0,1,1
2021-04-27,1,13,2
2021-04-28,0,18,1
2021-04-29,3,0,2
2021-04-30,0,14,0
2021-05-01,0,2,0
2021-05-02,0,0,0
2021-05-03,0,1,0
2021-05-04,3,9,1
2021-05-05,0,0,1
2021-05-06,0,2,2
2021-05-07,2,7,0
2021-05-08,0,1,0
2021-05-09,0,0,1
2021-05-10,0,25,1
2021-05-11,0,11,3
2021-05-12,0,6,2
2021-05-13,0,1,5
2021-05-14,2,0,3
2021-05-15,6,0,1
2021-05-16,0,0,1
2021-05-17,0,11,2
2021-05-18,0,8,2
2021-05-19,0,13,0
2021-05-20,0,5,4
2021-05-21,0,2,1
2021-05-22,0,1,0
2021-05-23,3,0,0
2021-05-24,0,0,7
2021-05-25,5,0,2
2021-05-26,4,9,0
2021-05-27,4,8,0
2021-05-28,4,1,4
2021-05-29,5,0,1
2021-05-30,5,0,1
2021-05-31,0,9,1
2021-06-01,0,8,2
2021-06-02,0,0,1
2021-06-03,4,0,6
2021-06-04,0,0,1
2021-06-05,0,1,3
2021-06-06,4,0,3
2021-06-07,1,4,3
2021-06-08,4,0,0
2021-06-09,0,0,1
2021-06-10,0,1,1
2021-06-11,3,1,2
2021-06-12,0,0,1
2021-06-13,0,0,1
2021-06-14,0,4,0
2021-06-15,0,0,2
2021-06-16,6,1,0
2021-06-17,3,7,3
2021-06-18,0,15,0
2021-06-19,0,1,1
2021-06-20,0,0,3
2021-06-21,5,26,0
2021-06-22,0,20,2
2021-06-23,0,6,1
2021-06-24,0,3,1
2021-06-25,3,12,1
2021-06-26,0,1,2
2021-06-27,2,0,5
2021-06-28,3,18,3
2021-06-29,0,22,2
2021-06-30,3,3,0
2021-07-01,6,3,3
2021-07-02,3,5,1
2021-07-03,0,0,0
2021-07-04,0,0,0
2021-07-05,0,20,2
2021-07-06,0,10,1
2021-07-07,3,12,3
2021-07-08,0,13,4
2021-07-09,3,0,3
2021-07-10,0,1,1
2021-07-11,3,0,3
2021-07-12,0,11,2
2021-07-13,0,5,2
2021-07-14,0,0,0
2021-07-15,4,15,0
2021-07-16,0,30,0
2021-07-17,0,0,3
2021-07-18,0,1,2
2021-07-19,0,0,0
2021-07-20,0,2,2
2021-07-21,3,1,1
2021-07-22,0,10,0
2021-07-23,1,3,1
2021-07-24,2,6,5
2021-07-25,4,1,2
2021-07-26,0,0,0
2021-07-27,1,4,2
2021-07-28,3,0,1
2021-07-29,3,3,0
2021-07-30,1,0,0
2021-07-31,0,0,2
2021-08-01,0,2,0
2021-08-02,0,5,1
2021-08-03,0,1,1
2021-08-04,0,0,0
2021-08-05,4,9,0
2021-08-06,0,9,2
2021-08-07,0,2,0
2021-08-08,3,0,0
2021-08-09,0,0,0
2021-08-10,3,17,1
2021-08-11,0,3,1
2021-08-12,0,0,1
2021-08-13,0,0,0
2021-08-14,1,3,0
2021-08-15,0,1,0
2021-08-16,0,13,1
2021-08-17,0,1,1
2021-08-18,0,2,0
2021-08-19,0,9,1
2021-08-20,0,3,0
2021-08-21,0,0,2
2021-08-22,0,0,2
2021-08-23,3,0,3
2021-08-24,0,1,0
2021-08-25,0,1,1
2021-08-26,1,4,1
2021-08-27,0,1,1
2021-08-28,0,0,1
2021-08-29,0,0,4
2021-08-30,0,9,2
2021-08-31,0,0,2
2021-09-01,0,0,3
2021-09-02,0,5,5
2021-09-03,0,15,0
2021-09-04,0,0,0
2021-09-05,0,1,0
2021-09-06,1,0,1
2021-09-07,1,0,1
2021-09-08,0,13,0
2021-09-09,0,1,0
2021-09-10,0,6,1
2021-09-11,0,1,4
2021-09-12,0,1,0
2021-09-13,0,3,0
2021-09-14,0,10,1
2021-09-15,0,1,1
2021-09-16,0,7,2
2021-09-17,0,3,0
2021-09-18,1,0,1
2021-09-19,1,0,0
2021-09-20,0,4,1
2021-09-21,0,3,1
2021-09-22,3,1,0
2021-09-23,0,5,0
2021-09-24,0,15,0
2021-09-25,0,0,0
2021-09-26,0,1,0
2021-09-27,0,6,0
2021-09-28,0,11,1
2021-09-29,0,5,1
2021-09-30,0,0,2
2021-10-01,5,3,3
2021-10-02,0,0,0
2021-10-03,0,0,2
2021-10-04,0,7,3
2021-10-05,0,11,4
2021-10-06,0,11,5
2021-10-07,0,10,3
2021-10-08,0,5,6
2021-10-09,0,1,3
2021-10-10,0,0,1
2021-10-11,0,2,0
2021-10-12,0,2,5
2021-10-13,0,6,2
2021-10-14,1,0,1
2021-10-15,0,0,1
2021-10-16,0,0,1
2021-10-17,0,2,0
2021-10-18,0,14,1
2021-10-19,0,5,0
2021-10-20,0,8,0
2021-10-21,0,3,1
2021-10-22,0,2,0
2021-10-23,0,0,0
2021-10-24,0,3,1
2021-10-25,8,7,0
2021-10-26,0,0,3
2021-10-27,0,2,1
2021-10-28,0,6,0
2021-10-29,0,7,1
2021-10-30,0,4,0
2021-10-31,0,0,1
2021-11-01,5,0,1
2021-11-02,0,21,6
2021-11-03,0,18,0
2021-11-04,0,15,1
