,jekyll/jekyll,middleman/middleman,getpelican/pelican
2012-06-19,-0.0719385599999997,0,0.0
2012-06-20,-0.062346751999999825,4,4.0
2012-06-21,0.0,2,4.0
2012-06-22,0.0,0,0.0
2012-06-23,0.0,0,0.0
2012-06-24,0.0,2,0.0
2012-06-25,0.0,0,2.0
2012-06-26,0.0,0,1.0
2012-06-27,0.0,0,3.0
2012-06-28,0.0,4,0.0
2012-06-29,1.0,1,0.0
2012-06-30,-0.19999999999999996,0,0.0
2012-07-01,-0.08000000000000007,1,2.0
2012-07-02,-0.048000000000000036,1,0.0
2012-07-03,-0.03360000000000001,7,2.0
2012-07-04,-0.025536000000000014,6,15.0
2012-07-05,-0.02042880000000001,0,4.0
2012-07-06,-0.01692672000000001,0,0.0
2012-07-07,-0.01438771199999994,3,6.0
2012-07-08,-0.012469350399999964,3,0.0
2012-07-09,0.0,9,5.0
2012-07-10,0.0,0,13.0
2012-07-11,0.0,3,2.0
2012-07-12,0.0,2,8.0
2012-07-13,0.0,3,1.0
2012-07-14,0.0,2,0.0
2012-07-15,0.0,4,6.0
2012-07-16,0.0,4,6.0
2012-07-17,0.0,4,1.0
2012-07-18,0.0,2,8.0
2012-07-19,0.0,6,0.0
2012-07-20,0.0,3,12.0
2012-07-21,0.0,0,1.0
2012-07-22,0.0,0,1.0
2012-07-23,0.0,0,4.0
2012-07-24,0.0,1,0.0
2012-07-25,0.0,3,0.0
2012-07-26,0.0,1,4.0
2012-07-27,0.0,2,0.0
2012-07-28,0.0,0,0.0
2012-07-29,0.0,2,0.0
2012-07-30,0.0,0,0.0
2012-07-31,0.0,0,2.0
2012-08-01,0.0,0,2.0
2012-08-02,0.0,0,1.0
2012-08-03,0.0,0,1.0
2012-08-04,0.0,0,4.0
2012-08-05,0.0,0,0.0
2012-08-06,0.0,0,7.0
2012-08-07,0.0,0,0.0
2012-08-08,1.0,0,5.0
2012-08-09,-0.19999999999999996,0,0.0
2012-08-10,-0.08000000000000007,4,0.0
2012-08-11,-0.048000000000000036,0,0.0
2012-08-12,-0.03360000000000001,0,0.0
2012-08-13,0.974464,1,2.0
2012-08-14,0.7795712,2,0.0
2012-08-15,-0.29692672000000003,0,0.0
2012-08-16,-0.14238771200000006,2,5.0
2012-08-17,-0.0940693504,0,0.0
2012-08-18,-0.05913600000000002,0,1.0
2012-08-19,-0.04596480000000003,0,0.0
2012-08-20,-0.03735552000000002,0,0.0
2012-08-21,-0.03131443199999995,2,3.0
2012-08-22,-0.026857062399999902,2,1.0
2012-08-23,1.9875306496,1,4.0
2012-08-24,-0.3999999999999999,0,3.0
2012-08-25,-0.16000000000000014,0,2.0
2012-08-26,-0.09600000000000007,0,0.0
2012-08-27,-0.06720000000000002,0,5.0
2012-08-28,-0.05107200000000003,2,0.0
2012-08-29,-0.04085760000000002,0,3.0
2012-08-30,-0.03385344000000002,0,3.0
2012-08-31,-0.02877542399999988,0,2.0
2012-09-01,-0.02493870079999993,6,2.0
2012-09-02,0.0,1,8.0
2012-09-03,0.0,0,2.0
2012-09-04,0.0,2,2.0
2012-09-05,0.0,4,0.0
2012-09-06,0.0,0,0.0
2012-09-07,0.0,0,3.0
2012-09-08,0.0,0,2.0
2012-09-09,0.0,0,1.0
2012-09-10,0.0,0,1.0
2012-09-11,0.0,5,6.0
2012-09-12,0.0,0,0.0
2012-09-13,0.0,4,0.0
2012-09-14,0.0,0,2.0
2012-09-15,0.0,1,1.0
2012-09-16,0.0,8,0.0
2012-09-17,0.0,2,1.0
2012-09-18,0.0,0,1.0
2012-09-19,0.0,0,2.0
2012-09-20,0.0,0,0.0
2012-09-21,0.0,0,0.0
2012-09-22,0.0,0,0.0
2012-09-23,0.0,0,1.0
2012-09-24,0.0,3,0.0
2012-09-25,0.0,1,5.0
2012-09-26,0.0,0,2.0
2012-09-27,0.0,0,1.0
2012-09-28,0.0,4,6.0
2012-09-29,0.0,1,0.0
2012-09-30,0.0,1,0.0
2012-10-01,0.0,1,2.0
2012-10-02,0.0,0,3.0
2012-10-03,0.0,0,5.0
2012-10-04,2.0,0,0.0
2012-10-05,-0.3999999999999999,0,0.0
2012-10-06,-0.16000000000000014,1,0.0
2012-10-07,-0.09600000000000007,0,1.0
2012-10-08,-0.06720000000000002,0,1.0
2012-10-09,-0.05107200000000003,0,0.0
2012-10-10,-0.04085760000000002,0,0.0
2012-10-11,-0.03385344000000002,6,0.0
2012-10-12,-0.02877542399999988,0,36.0
2012-10-13,0.9750612992000001,4,3.0
2012-10-14,-0.19999999999999996,5,0.0
2012-10-15,-0.08000000000000007,1,2.0
2012-10-16,-0.048000000000000036,3,0.0
2012-10-17,-0.03360000000000001,0,0.0
2012-10-18,-0.025536000000000014,0,1.0
2012-10-19,-0.02042880000000001,0,0.0
2012-10-20,-0.01692672000000001,0,3.0
2012-10-21,-0.01438771199999994,2,2.0
2012-10-22,-0.012469350399999964,0,2.0
2012-10-23,0.0,3,1.0
2012-10-24,0.0,0,0.0
2012-10-25,0.0,0,8.0
2012-10-26,0.0,0,1.0
2012-10-27,0.0,1,0.0
2012-10-28,0.0,2,7.0
2012-10-29,0.0,0,0.0
2012-10-30,0.0,0,8.0
2012-10-31,1.0,0,0.0
2012-11-01,-0.19999999999999996,0,0.0
2012-11-02,-0.08000000000000007,0,0.0
2012-11-03,-0.048000000000000036,0,4.0
2012-11-04,-0.03360000000000001,1,5.0
2012-11-05,-0.025536000000000014,1,5.0
2012-11-06,-0.02042880000000001,2,6.0
2012-11-07,-0.01692672000000001,1,0.0
2012-11-08,-0.01438771199999994,1,0.0
2012-11-09,-0.012469350399999964,0,0.0
2012-11-10,0.0,0,0.0
2012-11-11,0.0,2,0.0
2012-11-12,1.0,1,17.0
2012-11-13,1.8,0,3.0
2012-11-14,-0.48,0,0.0
2012-11-15,-0.20800000000000018,0,3.0
2012-11-16,-0.12960000000000008,1,2.0
2012-11-17,-0.09273600000000004,0,0.0
2012-11-18,-0.07150080000000003,0,0.0
2012-11-19,-0.05778432000000003,0,0.0
2012-11-20,-0.04824115199999996,0,5.0
2012-11-21,-0.041244774399999844,0,11.0
2012-11-22,-0.02493870079999993,0,1.0
2012-11-23,0.0,0,3.0
2012-11-24,0.0,0,2.0
2012-11-25,0.0,0,0.0
2012-11-26,0.0,0,3.0
2012-11-27,0.0,0,7.0
2012-11-28,0.0,0,1.0
2012-11-29,0.0,0,11.0
2012-11-30,0.0,0,0.0
2012-12-01,0.0,0,6.0
2012-12-02,0.0,0,5.0
2012-12-03,0.0,1,14.0
2012-12-04,0.0,0,7.0
2012-12-05,1.0,0,0.0
2012-12-06,-0.19999999999999996,0,3.0
2012-12-07,0.9199999999999999,0,3.0
2012-12-08,-0.248,1,0.0
2012-12-09,0.8863999999999999,0,1.0
2012-12-10,-0.273536,0,0.0
2012-12-11,-0.1340288000000001,0,6.0
2012-12-12,-0.09046272000000005,0,0.0
2012-12-13,-0.06841651199999996,0,0.0
2012-12-14,-0.05493207039999999,5,0.0
2012-12-15,2.965183488,12,0.0
2012-12-16,7.3706039296,0,0.0
2012-12-17,-1.8543877119999999,0,0.0
2012-12-18,6.203530649599999,3,2.0
2012-12-19,7.1152,3,0.0
2012-12-20,-2.7054080000000003,0,0.0
2012-12-21,-1.3215744000000011,0,0.0
2012-12-22,1.1185894399999996,0,0.0
2012-12-23,-0.059728895999999976,0,0.0
2012-12-24,-0.8853353471999997,0,0.0
2012-12-25,-0.5781010432,1,2.0
2012-12-26,4.631745536,9,0.0
2012-12-27,-1.301446860799999,0,0.0
2012-12-28,0.4213822463999999,0,0.0
2012-12-29,2.50571776,0,2.0
2012-12-30,1.106297856,3,0.0
2012-12-31,9.1449935872,11,0.0
2013-01-01,-0.45221335039999966,0,1.0
2013-01-02,1.4930303999999992,2,3.0
2013-01-03,-0.47617536000000005,2,2.0
2013-01-04,2.936368128,5,0.0
2013-01-05,-1.4525854720000002,2,0.0
2013-01-06,0.18635407359999978,0,0.0
2013-01-07,-0.7785162752,0,2.0
2013-01-08,0.4961083392000005,5,0.0
2013-01-09,5.425178112,12,0.0
2013-01-10,5.5196562432,0,0.0
2013-01-11,14.9269613568,0,8.0
2013-01-12,17.6279510016,5,0.0
2013-01-13,-1.3899401216000005,7,0.0
2013-01-14,-3.9992325120000025,0,0.0
2013-01-15,0.6420791295999986,4,3.0
2013-01-16,-2.2722616320000006,0,4.0
2013-01-17,13.4656357376,0,1.0
2013-01-18,2.815602073600001,1,12.0
2013-01-19,1.4927916032000006,2,6.0
2013-01-20,1.030249779200001,0,1.0
2013-01-21,-0.44755066879999994,2,8.0
2013-01-22,5.308633088,0,0.0
2013-01-23,1.5516528640000002,3,3.0
2013-01-24,-2.1523904512000005,1,2.0
2013-01-25,5.73820928,0,0.0
2013-01-26,-0.3323750399999992,8,0.0
2013-01-27,10.4590595072,0,0.0
2013-01-28,-3.2948966399999997,1,0.0
2013-01-29,-0.570055065600001,0,9.0
2013-01-30,9.7846884352,0,0.0
2013-01-31,-0.02210990079999897,3,0.0
2013-02-01,-2.043654041600001,2,0.0
2013-02-02,-1.1813130240000003,1,0.0
2013-02-03,8.1416824832,0,0.0
2013-02-04,-0.399716044799999,0,0.0
2013-02-05,-1.5878837248000002,0,0.0
2013-02-06,0.1461319679999995,5,0.0
2013-02-07,2.1800856576000003,0,1.0
2013-02-08,-1.1573499903999995,1,0.0
2013-02-09,4.4396607488,16,4.0
2013-02-10,7.62920192,10,7.0
2013-02-11,-2.4896788479999996,9,4.0
2013-02-12,-1.1980363776000005,0,0.0
2013-02-13,-0.7031518208000004,0,1.0
2013-02-14,-0.49524787200000014,2,0.0
2013-02-15,-0.38760048639999994,0,0.0
2013-02-16,-0.30590085120000005,3,0.0
2013-02-17,-0.22427903999999976,0,0.0
2013-02-18,-0.19183615999999926,2,0.0
2013-02-19,2.8877758464000003,0,0.0
2013-02-20,12.4,3,0.0
2013-02-21,-1.8399999999999999,0,1.0
2013-02-22,0.615999999999999,0,0.0
2013-02-23,0.7951999999999995,0,0.0
2013-02-24,2.878592,9,1.0
2013-02-25,2.5171455999999997,1,0.0
2013-02-26,1.3749094399999997,0,0.0
2013-02-27,2.4860887039999997,2,0.0
2013-02-28,4.300295372800001,0,2.0
2013-03-01,-2.1517443071999995,0,1.0
2013-03-02,0.9682425855999994,0,1.0
2013-03-03,4.8978557952,7,0.0
2013-03-04,14.124773171200001,2,24.0
2013-03-05,-4.169139609599999,0,0.0
2013-03-06,0.08147978239999887,0,8.0
2013-03-07,-1.6171912192000004,0,0.0
2013-03-08,0.9721227264000001,0,0.0
2013-03-09,-0.13581834240000012,0,1.0
2013-03-10,1.1156034559999997,2,6.0
2013-03-11,1.9908355072000004,0,11.0
2013-03-12,6.778922905600001,0,5.0
2013-03-13,4.745964953600001,0,1.0
2013-03-14,1.6536309759999996,0,1.0
2013-03-15,6.024907059199999,1,1.0
2013-03-16,18.312032256,0,3.0
2013-03-17,27.3940457472,2,0.0
2013-03-18,-6.232607334400001,3,1.0
2013-03-19,1.0345388031999976,4,5.0
2013-03-20,-4.286599987200001,3,5.0
2013-03-21,-2.7006620672000006,2,12.0
2013-03-22,-1.9407428608000004,5,4.0
2013-03-23,-1.4727986175999999,2,2.0
2013-03-24,-1.1749809151999988,0,6.0
2013-03-25,1.0899961856000027,3,3.0
2013-03-26,1.0437879808000012,2,8.0
2013-03-27,2.3162656768000005,0,3.0
2013-03-28,-0.9308161023999999,1,3.0
2013-03-29,0.5967999999999997,1,1.0
2013-03-30,-0.4622720000000001,0,1.0
2013-03-31,3.7272704,0,0.0
2013-04-01,3.00068096,0,2.0
2013-04-02,2.722484736,0,2.0
2013-04-03,7.5579697152000005,4,2.0
2013-04-04,16.4650693632,2,0.0
2013-04-05,0.9971212288000002,5,2.0
2013-04-06,-2.4846469120000014,6,1.0
2013-04-07,15.8415645696,7,1.0
2013-04-08,0.9568030720000005,2,0.0
2013-04-09,11.266221670399998,4,1.0
2013-04-10,-3.1787319295999996,5,1.0
2013-04-11,4.858116710399999,2,2.0
2013-04-12,28.3511721984,2,8.0
2013-04-13,19.4988949504,15,11.0
2013-04-14,26.4893024256,12,11.0
2013-04-15,23.0246875136,0,0.0
2013-04-16,-10.1090209792,0,1.0
2013-04-17,-7.373867622400003,0,9.0
2013-04-18,-3.8495590400000026,0,2.0
2013-04-19,9.3070021632,0,3.0
2013-04-20,0.5558934528000012,11,6.0
2013-04-21,-4.490853068799999,2,3.0
2013-04-22,1.341578956800002,3,1.0
2013-04-23,-2.5535826943999966,6,11.0
2013-04-24,-1.353587199999999,0,2.0
2013-04-25,1.3348748287999999,0,0.0
2013-04-26,16.108592128,0,1.0
2013-04-27,-2.963213926399999,0,0.0
2013-04-28,2.0138569727999993,1,0.0
2013-04-29,1.0942770175999996,0,0.0
2013-04-30,7.352177151999999,2,0.0
2013-05-01,-2.7904470016,7,1.0
2013-05-02,17.59492096,1,0.0
2013-05-03,-4.771902463999999,15,3.0
2013-05-04,3.7328202751999995,3,2.0
2013-05-05,26.3028160512,0,0.0
2013-05-06,18.7769404416,2,2.0
2013-05-07,21.4614349824,0,0.0
2013-05-08,-5.2286446592,0,1.0
2013-05-09,6.790552166399997,1,1.0
2013-05-10,11.549916671999998,1,1.0
2013-05-11,14.5171508224,0,0.0
2013-05-12,15.493570047999999,3,0.0
2013-05-13,-9.5334984704,1,6.0
2013-05-14,9.741594726399999,0,1.0
2013-05-15,9.543109529600002,0,2.0
2013-05-16,-0.8019768319999994,2,2.0
2013-05-17,2.183634431999999,2,0.0
2013-05-18,5.564240588800001,3,3.0
2013-05-19,-4.7158592511999995,2,1.0
2013-05-20,-2.6722387967999994,0,0.0
2013-05-21,-0.7484420096,0,0.0
2013-05-22,4.676032,0,0.0
2013-05-23,13.802834432000001,11,0.0
2013-05-24,-2.336610918399999,3,1.0
2013-05-25,1.6536027135999993,1,0.0
2013-05-26,-2.1862985727999997,1,1.0
2013-05-27,-0.2519383040000003,1,1.0
2013-05-28,-1.0072755200000003,0,0.0
2013-05-29,13.291719168,8,0.0
2013-05-30,-3.3606247423999993,3,0.0
2013-05-31,-0.5741881343999999,7,0.0
2013-06-01,2.8064720896,4,0.0
2013-06-02,6.5466816512,0,13.0
2013-06-03,2.6076918784,6,3.0
2013-06-04,-1.1659909120000007,6,1.0
2013-06-05,-1.3933794304000007,1,0.0
2013-06-06,3.0871992320000006,0,1.0
2013-06-07,4.5064991744,6,0.0
2013-06-08,12.073195007999999,1,1.0
2013-06-09,7.1948860416,0,1.0
2013-06-10,-4.0124414976,2,0.0
2013-06-11,2.9556359167999995,0,1.0
2013-06-12,0.6899343359999994,3,25.0
2013-06-13,6.0701469696,5,0.0
2013-06-14,-2.806010368,1,2.0
2013-06-15,5.450105446399999,1,2.0
2013-06-16,-2.474917990399999,0,7.0
2013-06-17,5.6596122624000005,2,0.0
2013-06-18,21.7766291456,3,0.0
2013-06-19,-5.881349119999999,2,4.0
2013-06-20,-2.6756756480000017,0,0.0
2013-06-21,-1.6827113472000004,0,0.0
2013-06-22,6.796606156799999,0,1.0
2013-06-23,1.5434204160000005,3,0.0
2013-06-24,-0.13606369280000052,4,2.0
2013-06-25,2.389044736,2,0.0
2013-06-26,2.1466094592000013,0,6.0
2013-06-27,7.1460475904,0,2.0
2013-06-28,-2.6447744,0,2.0
2013-06-29,-1.314600960000001,0,2.0
2013-06-30,6.107789824,3,0.0
2013-07-01,3.9225817088000006,1,0.0
2013-07-02,0.7821010943999998,3,0.0
2013-07-03,-0.7500556288000004,0,0.0
2013-07-04,-1.2229687296,0,2.0
2013-07-05,5.2162811904,0,0.0
2013-07-06,24.2427582464,0,0.0
2013-07-07,-3.03126784,0,6.0
2013-07-08,27.742903295999998,2,0.0
2013-07-09,1.8655793152000015,2,0.0
2013-07-10,2.2142780415999983,0,0.0
2013-07-11,-1.8271045632000016,0,0.0
2013-07-12,4.516613529599999,3,0.0
2013-07-13,-1.9393233920000004,2,1.0
2013-07-14,18.1588704256,0,5.0
2013-07-15,-6.1454705663999984,0,3.0
2013-07-16,9.0624672768,2,1.0
2013-07-17,-0.40661514239999885,0,1.0
2013-07-18,-2.97067776,0,3.0
2013-07-19,1.2485547007999993,2,0.0
2013-07-20,7.1894320128,0,0.0
2013-07-21,-2.9648233472,0,2.0
2013-07-22,23.4616297472,1,0.0
2013-07-23,-0.07949219839999877,0,0.0
2013-07-24,6.180632575999999,0,0.0
2013-07-25,13.8217065472,0,0.0
2013-07-26,-2.8125167616000004,0,0.0
2013-07-27,-3.555503616000002,0,1.0
2013-07-28,0.7291665407999992,0,0.0
2013-07-29,0.7378750463999997,0,6.0
2013-07-30,-0.0659891199999989,0,0.0
2013-07-31,1.2043463680000006,0,3.0
2013-08-01,-1.5894605823999997,0,7.0
2013-08-02,0.052139520000001105,0,0.0
2013-08-03,1.1832941568000006,0,15.0
2013-08-04,3.2186533888,0,17.0
2013-08-05,-1.219408896,0,12.0
2013-08-06,19.3746889728,0,9.0
2013-08-07,4.598300364800001,0,4.0
2013-08-08,4.325997363199999,0,1.0
2013-08-09,-2.4773363712000007,0,0.0
2013-08-10,1.926043647999999,0,3.0
2013-08-11,3.8139283455999995,0,0.0
2013-08-12,-0.5576895488,0,2.0
2013-08-13,2.1178409983999993,0,4.0
