,moby/moby,canonical/lxd,containerd/containerd
2022-06-22,6.0,33,5
2022-06-23,3.0,23,3
2022-06-24,3.0,4,0
2022-06-25,0.0,0,4
2022-06-26,0.0,0,0
2022-06-27,7.0,19,12
2022-06-28,1.0,126,3
2022-06-29,29.0,117,4
2022-06-30,9.0,8,3
2022-07-01,18.0,3,1
2022-07-02,7.0,0,0
2022-07-03,0.0,0,0
2022-07-04,6.0,4,1
2022-07-05,2.0,14,2
2022-07-06,2.0,42,6
2022-07-07,6.0,11,0
2022-07-08,7.0,4,0
2022-07-09,3.0,0,0
2022-07-10,0.0,0,0
2022-07-11,1.0,18,5
2022-07-12,8.0,4,3
2022-07-13,8.0,6,6
2022-07-14,6.0,3,5
2022-07-15,3.0,20,5
2022-07-16,0.0,0,1
2022-07-17,0.0,5,0
2022-07-18,14.0,7,6
2022-07-19,1.0,11,4
2022-07-20,7.0,15,8
2022-07-21,5.0,48,1
2022-07-22,1.0,2,12
2022-07-23,0.0,0,5
2022-07-24,0.0,5,4
2022-07-25,14.0,16,7
2022-07-26,2.0,22,3
2022-07-27,4.0,26,11
2022-07-28,4.0,78,4
2022-07-29,20.0,33,8
2022-07-30,0.0,3,0
2022-07-31,0.0,0,0
2022-08-01,1.0,49,3
2022-08-02,5.0,17,3
2022-08-03,7.0,12,0
2022-08-04,16.0,20,2
2022-08-05,2.0,12,12
2022-08-06,0.0,0,2
2022-08-07,0.0,0,3
2022-08-08,6.0,0,0
2022-08-09,4.0,19,0
2022-08-10,4.0,15,3
2022-08-11,11.0,23,1
2022-08-12,0.0,19,1
2022-08-13,5.0,5,1
2022-08-14,0.0,0,0
2022-08-15,1.0,17,2
2022-08-16,9.0,12,2
2022-08-17,7.0,78,9
2022-08-18,15.0,15,4
2022-08-19,2.0,4,3
2022-08-20,0.0,11,0
2022-08-21,0.0,6,0
2022-08-22,1.0,9,0
2022-08-23,9.0,34,0
2022-08-24,17.0,14,6
2022-08-25,10.0,23,8
2022-08-26,7.0,6,5
2022-08-27,1.0,3,1
2022-08-28,0.0,1,0
2022-08-29,14.0,7,3
2022-08-30,7.0,24,12
2022-08-31,2.0,5,4
2022-09-01,3.0,2,4
2022-09-02,1.0,44,0
2022-09-03,0.0,0,1
2022-09-04,5.0,0,0
2022-09-05,1.0,11,4
2022-09-06,7.0,54,10
2022-09-07,14.0,43,5
2022-09-08,12.0,24,2
2022-09-09,2.0,44,0
2022-09-10,4.0,2,4
2022-09-11,1.0,0,0
2022-09-12,2.0,4,0
2022-09-13,1.0,0,1
2022-09-14,0.0,2,3
2022-09-15,5.0,6,3
2022-09-16,4.0,16,0
2022-09-17,0.0,0,0
2022-09-18,0.0,0,0
2022-09-19,1.0,13,7
2022-09-20,1.0,9,3
2022-09-21,11.0,12,5
2022-09-22,10.0,6,11
2022-09-23,14.0,0,4
2022-09-24,0.0,0,1
2022-09-25,1.0,1,0
2022-09-26,13.0,7,2
2022-09-27,38.0,12,2
2022-09-28,3.0,26,3
2022-09-29,2.0,13,3
2022-09-30,9.0,22,2
2022-10-01,4.0,0,0
2022-10-02,0.0,30,1
2022-10-03,4.0,10,2
2022-10-04,4.0,10,3
2022-10-05,15.0,2,4
2022-10-06,7.0,18,1
2022-10-07,10.0,22,5
2022-10-08,17.0,0,4
2022-10-09,14.0,0,2
2022-10-10,7.0,16,6
2022-10-11,2.0,32,4
2022-10-12,4.0,17,16
2022-10-13,4.0,16,7
2022-10-14,5.0,6,3
2022-10-15,18.0,0,1
2022-10-16,6.0,0,9
2022-10-17,6.0,16,13
2022-10-18,4.0,5,6
2022-10-19,1.0,24,6
2022-10-20,17.0,13,2
2022-10-21,5.0,4,3
2022-10-22,1.0,1,1
2022-10-23,0.0,2,3
2022-10-24,7.0,6,2
2022-10-25,8.0,11,6
2022-10-26,10.0,4,3
2022-10-27,2.0,5,1
2022-10-28,1.0,53,3
2022-10-29,1.0,0,0
2022-10-30,0.0,0,0
2022-10-31,0.0,14,1
2022-11-01,12.0,10,8
2022-11-02,18.0,2,5
2022-11-03,8.0,6,11
2022-11-04,14.0,31,10
2022-11-05,3.0,0,0
2022-11-06,1.0,0,9
2022-11-07,0.0,0,5
2022-11-08,16.0,8,8
2022-11-09,8.0,2,4
2022-11-10,9.0,4,5
2022-11-11,2.0,4,12
2022-11-12,0.0,0,0
2022-11-13,0.0,0,0
2022-11-14,3.0,5,6
2022-11-15,13.0,27,8
2022-11-16,6.0,21,5
2022-11-17,6.0,10,3
2022-11-18,11.0,7,15
2022-11-19,0.0,2,6
2022-11-20,1.0,1,17
2022-11-21,0.0,7,8
2022-11-22,2.0,16,9
2022-11-23,17.0,3,9
2022-11-24,2.0,21,0
2022-11-25,13.0,33,4
2022-11-26,4.0,0,0
2022-11-27,1.0,0,2
2022-11-28,5.0,15,13
2022-11-29,17.0,41,9
2022-11-30,10.0,7,35
2022-12-01,6.0,10,4
2022-12-02,5.0,21,6
2022-12-03,1.0,0,4
2022-12-04,0.0,0,0
2022-12-05,1.0,21,3
2022-12-06,9.0,15,6
2022-12-07,5.0,12,12
2022-12-08,13.0,30,17
2022-12-09,2.0,2,9
2022-12-10,0.0,7,1
2022-12-11,0.0,1,3
2022-12-12,8.0,7,9
2022-12-13,5.0,10,8
2022-12-14,3.0,4,7
2022-12-15,23.0,60,6
2022-12-16,4.0,11,3
2022-12-17,1.0,0,0
2022-12-18,0.0,0,0
2022-12-19,2.0,0,3
2022-12-20,6.0,0,9
2022-12-21,40.0,0,5
2022-12-22,6.0,0,6
2022-12-23,3.0,0,4
2022-12-24,0.0,0,0
2022-12-25,0.0,0,0
2022-12-26,0.0,0,3
2022-12-27,9.0,0,9
2022-12-28,15.0,0,4
2022-12-29,11.0,0,5
2022-12-30,2.0,0,6
2022-12-31,4.0,0,3
2023-01-01,19.0,0,2
2023-01-02,3.0,0,4
2023-01-03,2.0,15,25
2023-01-04,1.0,20,9
2023-01-05,11.0,12,7
2023-01-06,8.0,3,3
2023-01-07,2.0,0,2
2023-01-08,0.0,0,0
2023-01-09,11.0,5,4
2023-01-10,18.0,22,2
2023-01-11,22.0,17,13
2023-01-12,6.0,16,6
2023-01-13,11.0,48,5
2023-01-14,8.0,1,1
2023-01-15,2.0,0,0
2023-01-16,5.0,25,0
2023-01-17,7.0,6,9
2023-01-18,9.0,9,3
2023-01-19,8.0,0,0
2023-01-20,13.0,14,2
2023-01-21,0.0,0,0
2023-01-22,1.0,0,0
2023-01-23,1.0,4,0
2023-01-24,5.0,2,7
2023-01-25,1.0,0,2
2023-01-26,15.0,26,2
2023-01-27,7.0,8,4
2023-01-28,0.0,1,7
2023-01-29,0.0,1,8
2023-01-30,5.0,3,10
2023-01-31,7.0,3,9
2023-02-01,1.0,7,6
2023-02-02,7.0,2,8
2023-02-03,4.0,6,3
2023-02-04,1.0,0,0
2023-02-05,0.0,0,0
2023-02-06,7.0,0,3
2023-02-07,18.0,7,6
2023-02-08,5.0,29,1
2023-02-09,0.0,20,5
2023-02-10,3.0,4,19
2023-02-11,0.0,1,13
2023-02-12,0.0,0,3
2023-02-13,0.0,13,17
2023-02-14,6.0,20,7
2023-02-15,11.0,21,24
2023-02-16,17.0,42,4
2023-02-17,8.0,15,6
2023-02-18,0.0,0,1
2023-02-19,0.0,0,4
2023-02-20,2.0,8,1
2023-02-21,13.0,24,7
2023-02-22,11.0,15,4
2023-02-23,12.0,9,2
2023-02-24,1.0,43,1
2023-02-25,0.0,2,5
2023-02-26,0.0,0,4
2023-02-27,1.0,5,7
2023-02-28,4.0,4,9
2023-03-01,10.0,13,9
2023-03-02,9.0,10,22
2023-03-03,4.0,26,11
2023-03-04,0.0,0,3
2023-03-05,0.0,0,2
2023-03-06,14.0,1,2
2023-03-07,10.0,8,27
2023-03-08,9.0,17,9
2023-03-09,5.0,2,7
2023-03-10,8.0,12,2
2023-03-11,0.0,0,0
2023-03-12,2.0,0,0
2023-03-13,1.0,0,5
2023-03-14,16.0,16,6
2023-03-15,21.0,37,13
2023-03-16,6.0,47,17
2023-03-17,0.0,4,1
2023-03-18,0.0,0,1
2023-03-19,1.0,0,0
2023-03-20,2.0,6,1
2023-03-21,4.0,13,0
2023-03-22,3.0,8,4
2023-03-23,3.0,3,1
2023-03-24,4.0,25,2
2023-03-25,3.0,3,0
2023-03-26,0.0,0,0
2023-03-27,3.0,2,3
2023-03-28,5.0,26,5
2023-03-29,4.0,12,7
2023-03-30,24.0,22,4
2023-03-31,14.0,19,24
2023-04-01,0.0,0,3
2023-04-02,0.0,0,1
2023-04-03,9.0,1,3
2023-04-04,6.0,1,5
2023-04-05,9.0,10,5
2023-04-06,20.0,12,3
2023-04-07,8.0,0,9
2023-04-08,6.0,0,0
2023-04-09,1.0,0,2
2023-04-10,0.0,0,5
2023-04-11,8.0,27,3
2023-04-12,5.0,22,3
2023-04-13,18.0,21,1
2023-04-14,8.0,41,8
2023-04-15,0.0,2,5
2023-04-16,0.0,1,5
2023-04-17,5.0,21,2
2023-04-18,7.0,12,2
2023-04-19,3.0,18,0
2023-04-20,9.0,28,6
2023-04-21,3.0,17,5
2023-04-22,0.0,0,2
2023-04-23,0.0,0,0
2023-04-24,4.0,1,4
2023-04-25,21.0,7,3
2023-04-26,24.0,7,3
2023-04-27,6.0,24,4
2023-04-28,20.0,27,1
2023-04-29,3.0,1,0
2023-04-30,4.0,3,4
2023-05-01,0.0,8,2
2023-05-02,2.0,31,2
2023-05-03,4.0,0,9
2023-05-04,12.0,6,2
2023-05-05,5.0,8,3
2023-05-06,11.0,0,1
2023-05-07,1.0,1,1
2023-05-08,8.0,3,3
2023-05-09,11.0,18,13
2023-05-10,12.0,0,8
2023-05-11,12.0,20,4
2023-05-12,6.0,8,1
2023-05-13,0.0,0,0
2023-05-14,0.0,0,1
2023-05-15,3.0,15,0
2023-05-16,6.0,38,4
2023-05-17,4.0,21,13
2023-05-18,19.0,8,3
2023-05-19,14.0,15,1
2023-05-20,2.0,5,0
2023-05-21,0.0,0,0
2023-05-22,2.0,9,2
2023-05-23,7.0,22,8
2023-05-24,10.0,4,2
2023-05-25,13.0,15,6
2023-05-26,6.0,24,5
2023-05-27,0.0,0,2
2023-05-28,3.0,0,0
2023-05-29,10.0,1,2
2023-05-30,9.0,26,16
2023-05-31,7.0,29,17
2023-06-01,16.0,28,7
2023-06-02,6.0,22,9
2023-06-03,3.0,0,3
2023-06-04,0.0,0,0
2023-06-05,9.0,15,3
2023-06-06,4.0,8,4
2023-06-07,1.0,25,5
2023-06-08,5.0,9,1
2023-06-09,5.0,21,4
2023-06-10,2.0,0,2
2023-06-11,0.0,20,3
2023-06-12,5.0,7,2
2023-06-13,2.0,6,3
2023-06-14,2.0,9,8
2023-06-15,1.0,55,5
2023-06-16,1.0,5,2
2023-06-17,0.0,2,3
2023-06-18,0.0,0,0
2023-06-19,0.0,32,1
2023-06-20,9.0,6,2
2023-06-21,4.0,24,1
2023-06-22,4.0,13,4
2023-06-23,4.0,10,10
2023-06-24,2.0,3,0
2023-06-25,0.0,0,4
2023-06-26,20.0,32,2
2023-06-27,14.0,14,3
2023-06-28,85.0,13,9
2023-06-29,11.0,6,2
2023-06-30,15.0,46,4
2023-07-01,5.0,0,1
2023-07-02,14.0,0,0
2023-07-03,11.0,4,5
2023-07-04,3.0,32,3
2023-07-05,76.0,23,3
2023-07-06,13.0,18,8
2023-07-07,8.0,24,2
2023-07-08,0.0,0,3
2023-07-09,4.0,9,1
2023-07-10,4.0,10,5
2023-07-11,18.0,20,16
2023-07-12,13.0,32,4
2023-07-13,11.0,16,0
2023-07-14,11.0,48,2
2023-07-15,7.0,0,0
2023-07-16,16.0,0,0
2023-07-17,28.0,31,4
2023-07-18,17.0,32,7
2023-07-19,37.0,18,3
2023-07-20,9.0,14,1
2023-07-21,5.0,24,2
2023-07-22,1.0,0,14
2023-07-23,2.0,1,1
2023-07-24,11.0,10,6
2023-07-25,26.0,9,1
2023-07-26,20.0,30,6
2023-07-27,10.0,8,1
2023-07-28,12.0,2,1
2023-07-29,4.0,0,0
2023-07-30,4.0,0,12
2023-07-31,25.0,10,3
2023-08-01,11.0,31,4
2023-08-02,25.0,13,4
2023-08-03,7.0,5,0
2023-08-04,2.0,17,3
2023-08-05,6.0,0,0
2023-08-06,0.0,1,3
2023-08-07,7.0,17,9
2023-08-08,42.0,0,3
2023-08-09,13.0,3,3
2023-08-10,7.0,15,2
2023-08-11,24.0,8,8
2023-08-12,8.0,0,2
2023-08-13,0.0,1,0
2023-08-14,12.0,3,3
2023-08-15,4.0,2,3
2023-08-16,13.0,3,1
2023-08-17,11.0,3,9
2023-08-18,15.0,7,8
2023-08-19,3.0,0,5
2023-08-20,2.0,1,0
2023-08-21,13.0,36,11
2023-08-22,12.0,18,9
2023-08-23,35.0,5,14
2023-08-24,40.0,3,7
2023-08-25,11.0,7,6
2023-08-26,18.0,0,1
2023-08-27,15.0,0,1
2023-08-28,21.0,0,5
2023-08-29,41.0,10,3
2023-08-30,17.0,12,3
2023-08-31,17.0,9,13
2023-09-01,2.0,11,9
2023-09-02,0.0,0,2
2023-09-03,0.0,0,0
2023-09-04,6.0,17,7
2023-09-05,8.0,14,6
2023-09-06,6.0,9,6
2023-09-07,16.0,12,4
2023-09-08,33.0,4,5
2023-09-09,0.0,0,5
2023-09-10,2.0,0,1
2023-09-11,20.0,2,3
2023-09-12,10.0,19,3
2023-09-13,10.0,16,18
2023-09-14,11.0,6,5
2023-09-15,14.0,15,0
2023-09-16,2.0,0,1
2023-09-17,2.0,0,1
2023-09-18,43.0,15,7
2023-09-19,10.0,22,9
2023-09-20,23.0,10,8
2023-09-21,25.0,9,2
2023-09-22,6.0,20,7
2023-09-23,0.0,1,1
2023-09-24,0.0,4,0
2023-09-25,5.0,27,4
2023-09-26,12.0,21,12
2023-09-27,21.0,9,18
2023-09-28,8.0,3,2
2023-09-29,4.0,5,4
2023-09-30,1.0,0,0
2023-10-01,1.0,0,0
2023-10-02,1.0,3,10
2023-10-03,5.0,4,12
2023-10-04,5.0,0,4
2023-10-05,2.0,7,4
2023-10-06,4.0,10,4
2023-10-07,1.0,0,1
2023-10-08,0.0,0,1
2023-10-09,4.0,4,4
2023-10-10,12.0,14,0
2023-10-11,23.0,8,3
2023-10-12,23.0,16,15
2023-10-13,17.0,18,14
2023-10-14,8.0,1,0
2023-10-15,1.0,0,0
2023-10-16,17.0,34,24
2023-10-17,11.0,15,10
2023-10-18,6.0,17,4
2023-10-19,55.0,11,11
2023-10-20,8.0,21,5
2023-10-21,1.0,0,1
2023-10-22,0.0,0,0
2023-10-23,7.0,34,0
2023-10-24,3.0,55,2
2023-10-25,27.0,64,20
2023-10-26,13.0,24,2
2023-10-27,3.0,36,3
2023-10-28,2.0,0,1
2023-10-29,0.0,3,0
2023-10-30,7.0,7,4
2023-10-31,8.0,10,0
2023-11-01,1.0,9,7
2023-11-02,10.0,3,18
2023-11-03,19.0,0,1
2023-11-04,2.0,4,1
2023-11-05,0.0,11,1
2023-11-06,4.0,33,4
2023-11-07,4.0,14,2
2023-11-08,13.0,1,4
2023-11-09,8.0,1,3
2023-11-10,4.0,0,3
2023-11-11,1.0,0,0
2023-11-12,0.0,0,0
2023-11-13,11.0,2,5
2023-11-14,4.0,1,2
2023-11-15,1.0,8,17
2023-11-16,2.0,2,4
2023-11-17,0.0,13,5
2023-11-18,0.0,0,3
2023-11-19,4.0,0,0
2023-11-20,5.0,4,3
2023-11-21,4.0,3,2
2023-11-22,2.0,8,6
2023-11-23,5.0,18,1
2023-11-24,4.0,2,0
2023-11-25,0.0,0,0
2023-11-26,0.0,0,1
2023-11-27,11.0,11,0
2023-11-28,2.0,34,3
2023-11-29,5.0,10,1
2023-11-30,17.0,2,6
2023-12-01,5.0,10,11
2023-12-02,0.0,0,0
2023-12-03,1.0,2,0
2023-12-04,12.0,24,3
