,raywenderlich/swift-style-guide,vsouza/awesome-ios,matteocrippa/awesome-swift
2016-08-22,0,8.646709984840626,0
2016-08-23,0,-0.6630731298765595,4
2016-08-24,0,4.21549562885469,0
2016-08-25,0,14.11524300524844,0
2016-08-26,0,1.1533907991906265,0
2016-08-27,0,-1.9875959601953115,1
2016-08-28,0,21.757415009800003,0
2016-08-29,0,1.9349677726046877,0
2016-08-30,0,6.859279121576563,0
2016-08-31,0,9.766354618573438,0
2016-09-01,0,5.472907726834376,0
2016-09-02,0,-1.3183586584656242,0
2016-09-03,0,1.4560725698625017,0
2016-09-04,0,1.679438763606252,0
2016-09-05,0,6.783801206890627,1
2016-09-06,0,13.331100910345313,4
2016-09-07,0,9.609866215179688,2
2016-09-08,0,2.4943412384890618,2
2016-09-09,0,-1.9090627183062496,0
